date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:57	69/69	---M-Z	200	added ('OK')	text/plain	date:Sat,%2014%20Sep%202019%2016:45:23%20GMT	http://sfd.linuxaccra.org/robots.txt		(from )
16:34:58	78836/78836	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202019%2016:45:24%20GMT	http://sfd.linuxaccra.org/	/home/ignis/public_html/laug/sfd17/sfd.linuxaccra.org/index.html	(from )
16:35:01	5842/5842	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202019%2016:34:59%20GMT	http://gmpg.org/xfn/11	/home/ignis/public_html/laug/sfd17/gmpg.org/xfn/11.html	(from http://sfd.linuxaccra.org/)
16:35:01	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2014%20Sep%202019%2016:45:27%20GMT	http://sfd.linuxaccra.org/xmlrpc.php	/home/ignis/public_html/laug/sfd17/sfd.linuxaccra.org/xmlrpc.1.delayed	(from http://sfd.linuxaccra.org/)
16:35:02	34938/34938	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://sfd.linuxaccra.org/wp-content/plugins/live-composer-page-builder/css/A.font-awesome.css,qver=1.3.4.pagespeed.cf.qUQrGF2tBd.css	/home/ignis/public_html/laug/sfd17/sfd.linuxaccra.org/wp-content/plugins/live-composer-page-builder/css/A.font-awesome.css,qver=1.3.4.pagespeed.cf.qUQrGF2tBd.css	(from http://sfd.linuxaccra.org/)
16:35:09	719/719	---M-Z	200	added ('OK')	application/rss+xml	etag:%2223fd0e2e28903941c29d9ce8d03bc02e-gzip%22	http://sfd.linuxaccra.org/comments/feed/	/home/ignis/public_html/laug/sfd17/sfd.linuxaccra.org/comments/feed/index.html	(from http://sfd.linuxaccra.org/)
16:35:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Sep%202019%2016:35:08%20GMT	http://s.w.org/	/home/ignis/public_html/laug/sfd17/s.w.org/index.html	(from http://sfd.linuxaccra.org/)
16:35:09	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Sep%202019%2016:35:08%20GMT	http://fonts.googleapis.com/	/home/ignis/public_html/laug/sfd17/fonts.googleapis.com/index.html	(from http://sfd.linuxaccra.org/)
16:35:09	19112/19112	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://sfd.linuxaccra.org/wp-content/plugins/live-composer-page-builder/css/frontend/A.main.css,qver=1.3.4.pagespeed.cf.MRdwZ9Tp8p.css	/home/ignis/public_html/laug/sfd17/sfd.linuxaccra.org/wp-content/plugins/live-composer-page-builder/css/frontend/A.main.css,qver=1.3.4.pagespeed.cf.MRdwZ9Tp8p.css	(from http://sfd.linuxaccra.org/)
16:35:10	31763/31763	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://sfd.linuxaccra.org/wp-content/plugins/live-composer-page-builder/css/frontend/A.modules.css,qver=1.3.4.pagespeed.cf.ZbaMBjuwAD.css	/home/ignis/public_html/laug/sfd17/sfd.linuxaccra.org/wp-content/plugins/live-composer-page-builder/css/frontend/A.modules.css,qver=1.3.4.pagespeed.cf.ZbaMBjuwAD.css	(from http://sfd.linuxaccra.org/)
16:35:11	11672/11672	---M-Z	200	added ('OK')	text/css	etag:%222d98-557f377f84e41-gzip%22	http://sfd.linuxaccra.org/wp-content/plugins/live-composer-page-builder/css/frontend/plugins.css?ver=1.3.4	/home/ignis/public_html/laug/sfd17/sfd.linuxaccra.org/wp-content/plugins/live-composer-page-builder/css/frontend/pluginsc412.css	(from http://sfd.linuxaccra.org/)
16:35:12	5578/5578	---M-Z	200	added ('OK')	text/css	etag:%2215ca-5573527f9e2a1-gzip%22	http://sfd.linuxaccra.org/wp-content/plugins/llorix-one-companion/css/style.css?ver=4.8.10	/home/ignis/public_html/laug/sfd17/sfd.linuxaccra.org/wp-content/plugins/llorix-one-companion/css/style5111.css	(from http://sfd.linuxaccra.org/)
16:35:13	1171/1171	---MC-	200	added ('OK')	text/css	date:Sat,%2014%20Sep%202019%2016:35:13%20GMT	http://fonts.googleapis.com/css?family=Cabin%3A400%2C600%7COpen+Sans%3A400%2C300%2C600&ver=4.8.10	/home/ignis/public_html/laug/sfd17/fonts.googleapis.com/css3eb8.css	(from http://sfd.linuxaccra.org/)
